relative_day,volume,support_ratio,avg_stance_score,post,time_after,event
45,1,1.0,2.0,1,45,Treaty entry into force
46,1,1.0,2.0,1,46,Treaty entry into force
47,1,0.0,0.0,1,47,Treaty entry into force
55,1,0.0,-1.0,1,55,Treaty entry into force
56,1,0.0,0.0,1,56,Treaty entry into force
57,1,0.0,0.0,1,57,Treaty entry into force
62,1,1.0,2.0,1,62,Treaty entry into force
