frame,count,share
Other,110,0.6179775280898876
Migration Fairness,23,0.12921348314606743
Climate Justice,9,0.05056179775280899
Human Security,9,0.05056179775280899
Housing / Public Services,9,0.05056179775280899
Strategic Security,9,0.05056179775280899
China / Geopolitics,9,0.05056179775280899
